Line = 41792, column = 44165.
Line = 37627, column = 38436.
Line = 3047, column = 4726.
Line = 50410, column = 48507.
Line = 41813, column = 39347.
Line = 18135, column = 16753.
Line = 25500, column = 28460.
Line = 27475, column = 30683.
Line = 2916, column = 4736.
Line = 32858, column = 32904.
Line = 41064, column = 42398.
Line = 19638, column = 20295.
Line = 27571, column = 27793.
Line = 138, column = 1138.
Line = 8948, column = 9038.
Line = 25161, column = 24458.
Line = 37705, column = 35025.
Line = 670, column = 1984.
Line = 30087, column = 28673.
Line = 33469, column = 35421.
Line = 50551, column = 48925.
Line = 47324, column = 44307.
Line = 6893, column = 6905.
Line = 13892, column = 13879.
Line = 3986, column = 6391.
Line = 6904, column = 5730.
Line = 27487, column = 27567.
Line = 15324, column = 13370.
Line = 14554, column = 16282.
Line = 28723, column = 30014.
Line = 15700, column = 17433.
Line = 25661, column = 25574.
Line = 47969, column = 48317.
Line = 501, column = 496.
Line = 31, column = 19.
Line = 7279, column = 6006.
Line = 22721, column = 21476.
Line = 38085, column = 36522.
Line = 48838, column = 47708.
Line = 27298, column = 25962.
Line = 38066, column = 36809.
Line = 3364, column = 4907.
Line = 39718, column = 38982.
Line = 10851, column = 7945.
Line = 47117, column = 48043.
Line = 40951, column = 40784.
Line = 20137, column = 18716.
Line = 23524, column = 23255.
Line = 36461, column = 33828.
Line = 20040, column = 19661.
Line = 16953, column = 13746.
Line = 39183, column = 39332.
Line = 3596, column = 3652.
Line = 16419, column = 17193.
Line = 5718, column = 4480.
Line = 18473, column = 18800.
Line = 18178, column = 19326.
Line = 7980, column = 6828.
Line = 14466, column = 13837.
Line = 35107, column = 35458.
Line = 42537, column = 41154.
Line = 23457, column = 24009.
Line = 28385, column = 27474.
Line = 41503, column = 41300.
Line = 4713, column = 5412.
Line = 40523, column = 42230.
Line = 20522, column = 20427.
Line = 11520, column = 12484.
Line = 32071, column = 29395.
Line = 24774, column = 25892.
Line = 11530, column = 12408.
Line = 48842, column = 48443.
Line = 48404, column = 49137.
Line = 21528, column = 20930.
Line = 42504, column = 42828.
Line = 24608, column = 25938.
Line = 34883, column = 36634.
Line = 36170, column = 36077.
Line = 27535, column = 29160.
Line = 48276, column = 48607.
Line = 45084, column = 46063.
Line = 16862, column = 16905.
Line = 26940, column = 29135.
Line = 18971, column = 18964.
Line = 39857, column = 41462.
Line = 33692, column = 34956.
Line = 41186, column = 42497.
Line = 1412, column = 1350.
Line = 32321, column = 34965.
Line = 18883, column = 20021.
Line = 40237, column = 37619.
Line = 39594, column = 38455.
Line = 38470, column = 42043.
Line = 1339, column = 3767.
Line = 39596, column = 37987.
Line = 24995, column = 24923.
Line = 21958, column = 21650.
Line = 32039, column = 30739.
Line = 577, column = 696.
Line = 15031, column = 14116.
Line = 26818, column = 26492.
Line = 25966, column = 26509.
Line = 26999, column = 28783.
Line = 42194, column = 40115.
